Safari & Cyclone UEC List (Updated 12/16/2010)

UEC    Description
FC16   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_16
FC17   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_17
FC18   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_18
FC19   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_19
FC1A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_1A
FC1B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_1B
FC1C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_1C
FC1D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_1D
FC1E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_1E
FC1F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_1F
FC20   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_20
FC21   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_21
FC22   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_22
FC23   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_23
FC24   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_24
FC25   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_25
FC26   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_26
FC27   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_27
FC28   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_28
FC29   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_29
FC2A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_2A
FC2B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_2B
FC2C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_2C
FC2D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_2D
FC2E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_2E
FC2F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_2F
FC30   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_30
FC31   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_31
FC32   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_32
FC33   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_33
FC34   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_34
FC35   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_35
FC36   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_36
FC37   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_37
FC38   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_38
FC39   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_39
FC3A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_3A
FC3B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_3B
FC3C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_3C
FC3D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_3D
FC3E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_3E
FC3F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_3F
FC40   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_40
FC41   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_41
FC42   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_42
FC43   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_43
FC44   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_44
FC45   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_45
FC46   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_46
FC47   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_47
FC48   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_48
FC49   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_49
FC4A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_4A
FC4B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_4B
FC4C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_4C
